,factor,sigma,std
2134,1.4321212121212121,0.14393939393939395,0.1565285728231124
2135,1.4321212121212121,0.1478787878787879,0.16080685298875624
2136,1.4321212121212121,0.15181818181818182,0.17052396578285145
2137,1.4321212121212121,0.15575757575757576,0.17738286341178908
2138,1.4321212121212121,0.15969696969696973,0.17256510926288662
2139,1.4321212121212121,0.16363636363636366,0.1820444386517364
2140,1.4321212121212121,0.1675757575757576,0.19124531503076772
2141,1.4321212121212121,0.17151515151515154,0.19654636984481913
2142,1.4321212121212121,0.17545454545454547,0.2103727021014959
2143,1.4321212121212121,0.1793939393939394,0.21339605779202644
2144,1.4321212121212121,0.18333333333333335,0.21802201677715602
2145,1.4321212121212121,0.18727272727272729,0.2251099057840316
2146,1.4321212121212121,0.19121212121212122,0.226896188874019
2147,1.4321212121212121,0.19515151515151516,0.23175188368263205
2148,1.4321212121212121,0.1990909090909091,0.2364546822163083
2149,1.4321212121212121,0.20303030303030306,0.2579460996094292
2150,1.4321212121212121,0.206969696969697,0.2587194775572013
2151,1.4321212121212121,0.21090909090909093,0.2760446083684555
2152,1.4321212121212121,0.21484848484848487,0.2704500487920555
2153,1.4321212121212121,0.2187878787878788,0.26511075806542544
2154,1.4321212121212121,0.22272727272727275,0.2766915809184084
2155,1.4321212121212121,0.22666666666666668,0.30436312429857804
2156,1.4321212121212121,0.23060606060606062,0.30393599709361885
2157,1.4321212121212121,0.23454545454545456,0.30717200519343096
2158,1.4321212121212121,0.2384848484848485,0.29895593178862057
2159,1.4321212121212121,0.24242424242424246,0.31313374993953974
2160,1.4321212121212121,0.2463636363636364,0.3179245170261415
2161,1.4321212121212121,0.2503030303030303,0.35546519653580555
2162,1.4321212121212121,0.25424242424242427,0.3535355443707512
2163,1.4321212121212121,0.2581818181818182,0.3654345536474083
2164,1.4321212121212121,0.26212121212121214,0.372092451913072
2165,1.4321212121212121,0.2660606060606061,0.387896139845846
2166,1.4321212121212121,0.27,0.39021135044681465
2167,1.4321212121212121,0.273939393939394,0.379527828001634
2168,1.4321212121212121,0.2778787878787879,0.4087287757941233
2169,1.4321212121212121,0.28181818181818186,0.4249649486261627
2170,1.4321212121212121,0.28575757575757577,0.4287240549294788
2171,1.4321212121212121,0.28969696969696973,0.4524725290613239
2172,1.4321212121212121,0.29363636363636364,0.5265738393123913
2173,1.4321212121212121,0.2975757575757576,0.4725085858598043
2174,1.4321212121212121,0.3015151515151515,0.4774383504090125
2175,1.4321212121212121,0.3054545454545455,0.48072376146696577
2176,1.4321212121212121,0.30939393939393944,0.5409938121907824
2177,1.4321212121212121,0.31333333333333335,0.4883213317608279
2178,1.4321212121212121,0.3172727272727273,0.45547992792857195
2179,1.4321212121212121,0.3212121212121212,0.6189118362357412
2180,1.4321212121212121,0.3251515151515152,0.5292308616138551
2181,1.4321212121212121,0.3290909090909091,0.5113359199760178
2182,1.4321212121212121,0.33303030303030307,0.5312129232590894
2183,1.4321212121212121,0.336969696969697,0.5752525382705884
2184,1.4321212121212121,0.34090909090909094,0.6584658277147244
2185,1.4321212121212121,0.34484848484848485,0.633288423244781
2186,1.4321212121212121,0.3487878787878788,0.5860335415502694
2187,1.4321212121212121,0.3527272727272728,0.5980777797357196
2188,1.4321212121212121,0.3566666666666667,0.6287440436079551
2189,1.4321212121212121,0.36060606060606065,0.6527823399079535
2190,1.4321212121212121,0.36454545454545456,0.669617945087223
2191,1.4321212121212121,0.3684848484848485,0.710582059152955
2192,1.4321212121212121,0.37242424242424244,0.6535760940741474
2193,1.4321212121212121,0.3763636363636364,0.6779584324053887
2194,1.4321212121212121,0.3803030303030303,0.8492549252265137
2195,1.4321212121212121,0.3842424242424243,0.7828808271334948
2196,1.4321212121212121,0.3881818181818182,0.7904500647475806
2197,1.4321212121212121,0.39212121212121215,0.6790797903114238
2198,1.4321212121212121,0.3960606060606061,0.7240830014661229
2199,1.4321212121212121,0.4,0.8127969748472665
2200,1.4522222222222223,0.01,0.010180377404631553
2201,1.4522222222222223,0.013939393939393939,0.013988720498204099
2202,1.4522222222222223,0.01787878787878788,0.01787057187989562
